ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
330,Hawkins & Hartnoll 1980,Estuarine and Coastal Marine Science 10: 201-214,northern,54.3,54.3,,-4.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,nested,,log-log,26,1.643786178,0.043478261,-1.151,cm2,0.433,0.396,0.033,0.001089,-1.204119983,0.273001272,-0.06886497
331,Hawkins & Porter 2001,Ecology Letters 4: 595-601,,,,,,terrestrial,,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,28,0.193374826,0.04,1.889,km2,1.433,0.076,0.077,0.005929,10.81954394,13.04434373,12.36552804
332,He & Legendre 1996,Am Nat 148: 719-737,northern,2,2,,103,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,17,1.811657383,0.071428571,0.502,m2,0.502,0.518,0.045,0.002025,0.580924976,5.397940009,5.397940009
333,Heaney 1984,Oecologia 61: 11-17,southern,-7,7,,105,terrestrial,islands,non-volant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent,,log-log,18,0.857563122,0.066666667,1.079,km2,0.185,0.149,0.039,0.001521,5.079181246,11.87113141,10.91767965
334,Heaney 1991,Bull American Museum of National History 206:145-167,,,,,,terrestrial,forest,fruit bats,mammals,herbivores,flying,flying,1.113943352,no,independent,,log-log,20,1.129943721,0.058823529,0.745,km2,0.241,0.084,0.014,0.000196,7.079181246,11.9318137,11.15095988
335,Heatwole 1975,Atoll Res Bull 180: 1-39,,,,,,terrestrial,islands,terrestrial reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,,log-log,25,1.354025101,0.045454545,0.024,ha,-1.02,0.261,0.03,0.0009,4.19893187,9.095518042,8.330616667
336,Heatwole 1975,Atoll Res Bull 180: 1-39,northern,,,,,terrestrial,islands,terrestrial reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,,log-log,52,0.865342428,0.020408163,-0.149,ha,-1.105,0.239,0.035,0.001225,5.397522886,11.00432137,9.598681099
337,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",southern,10,10,3,,terrestrial,non-forest,reptile,reptiles,omnivores,mobility,mobile,2.8114,no,independent,,log-log,16,0.881160057,0.076923077,0.48,km2,-0.36,0.14,,,,,7.323953008
338,Heidinga & Wilson 2002,Diversity and Distributions 8: 249-258,northern,49.2,49.2,,-107.4,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,140,,0.00729927,0.966,m2,0.966,0.209,,,-0.301029996,0.903089987,
339,Helle 1984,Ann Zool Fennici 21: 421-425,northern,66,66,,29,terrestrial,forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,24,1.025259251,0.047619048,-0.082,ha,-2.246,0.541,0.095,0.009025,4.414973348,6.000867722,5.46834733
340,Helle 1984,Ann Zool Fennici 21: 421-425,northern,66,66,,29,terrestrial,forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,12,0.668511656,0.111111111,0.246,ha,-1.894,0.535,0.235,0.055225,5.252853031,5.846337112,5.5774918
341,Helzer & Jelinski 1999,Ecological Applications 9: 1448-1458,northern,41,41,,-98,terrestrial,non-forest,grassland birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,40,1.063500675,0.027027027,0.206,ha,-1.186,0.348,0.044,0.001936,4,6.650307523,5.669316881
342,Herkert 1994,Ecological Applications 4: 461-471,northern,42,42,,-88,terrestrial,non-forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,24,1.156817465,0.047619048,0.456,ha,-0.708,0.291,0.043,0.001849,4,6.809559715,5.799340549
348,Hill et al 1994,Global Ecology & Biogeography Letters 4: 97-106,northern,7.5,7.5,,3,terrestrial,forest,trees >30cm diam,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,20,1.362622841,0.058823529,1.49,km2,-0.298,0.298,0.039,0.001521,7.556302501,8.944975908,8.305351369
356,Hirano et al 1989,Strix 8: 173-178,northern,36.5,36.5,,139.9,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,18,1.842138521,0.066666667,1.104,ha,-0.236,0.335,0.027,0.000729,3.079181246,5.860338007,4.970346876
357,Hochstrasser et al 2002,J of Arid Environments 51: 55-78,northern,32.5,32.5,,-106.8,terrestrial,non-forest,annual plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,7,3.800201167,0.25,0.606,m2,0.606,0.251,0.006,0.000036,0.602601317,2.971352813,2.386118478
358,Hochstrasser et al 2002,J of Arid Environments 51: 55-78,northern,40.8,40.8,,-104.8,terrestrial,non-forest,annual plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,7,2.994480708,0.25,0.275,m2,0.275,0.262,0.012,0.000144,0.603455043,2.975040457,2.390560425
359,Hochstrasser et al 2002,J of Arid Environments 51: 55-78,northern,34.5,34.5,,-106.9,terrestrial,non-forest,annual plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,7,3.106303048,0.25,-0.007,m2,-0.007,0.426,0.016,0.000256,0.603804284,2.96207547,2.383641956
360,Hochstrasser et al 2002,J of Arid Environments 51: 55-78,northern,32.5,32.5,,-106.8,terrestrial,non-forest,perennial plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,3.250394522,0.2,0.562,m2,0.562,0.306,0.01,0.0001,0.021042791,2.995876268,2.353292398
361,Hochstrasser et al 2002,J of Arid Environments 51: 55-78,northern,40.8,40.8,,-104.8,terrestrial,non-forest,perennial plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,2.825743086,0.2,0.986,m2,0.986,0.27,0.014,0.000196,0.009519706,2.981693706,2.345465987
362,Hochstrasser et al 2002,J of Arid Environments 51: 55-78,northern,34.5,34.5,,-106.9,terrestrial,non-forest,perennial plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,2.994480708,0.2,0.339,m2,0.339,0.41,0.016,0.000256,0.010521397,2.984892489,2.354187214
363,Hogg et al 1989,Can J Bot 67: 961-969,northern,45.5,45.5,1,-82,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,27,0.993851906,0.041666667,1.646,ha,-0.15,0.449,0.077,0.005929,3.301029996,5.591064607,4.803659398
364,Hogg et al 1989,Can J Bot 67: 961-969,northern,45.5,45.5,1,-82,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent ,A2b,log-log,50,1.214418484,0.021276596,1.737,ha,0.709,0.257,0.024,0.000576,3.602059991,7.696356389,6.320524311
365,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",southern,-40,40,2,,terrestrial,islands,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,15,1.013000009,0.083333333,-0.059,km2,-1.535,0.246,,,,,9.305808428
366,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",southern,-40,40,,145,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent,A2b,log-log,14,1.304981222,0.090909091,0.056,km2,-2.233,0.381,0.065,0.004225,6.477121255,9.123851641,8.262035582
367,Hopkins 1955,J of Ecology 43: 409-426,northern,53,53,,1,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,0.178,m2,0.178,0.054,0.008,,-6,2.602059991,
368,Hopkins 1955,J of Ecology 43: 409-426,northern,52.5,52.5,,-2.7,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,0.391,m2,0.391,0.069,0.006,,-6,2.602059991,
369,Hopkins 1955,J of Ecology 43: 409-426,northern,53,53,,1,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,1.111,m2,1.111,0.152,0.009,,-6,2.602059991,
370,Hopkins 1955,J of Ecology 43: 409-426,northern,51.7,51.7,,-1.5,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,1.204,m2,1.204,0.154,0.007,,-6,2.602059991,
371,Hopkins 1955,J of Ecology 43: 409-426,northern,56.5,56.5,,-4,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,1.272,m2,1.272,0.159,0.004,,-6,2.602059991,
372,Hopkins 1955,J of Ecology 43: 409-426,northern,53,53,,1,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,1.104,m2,1.104,0.161,0.005,,-6,2.602059991,
373,Hopkins 1955,J of Ecology 43: 409-426,northern,51.5,51.5,,-1,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,13,,,0.787,m2,0.787,0.17,0.018,,-6,2.602059991,
374,Hopkins 1955,J of Ecology 43: 409-426,northern,54.3,54.3,,-3,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,1.264,m2,1.264,0.177,0.005,,-6,2.602059991,
375,Hopkins 1955,J of Ecology 43: 409-426,northern,56.5,56.5,,-4,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,14,,,1.223,m2,1.223,0.204,0.006,,-6,2.602059991,
376,Hopkins 1955,J of Ecology 43: 409-426,northern,54.5,54.5,,-2.5,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,12,,,0.581,m2,0.581,0.307,0.021,,-6,2.602059991,
377,Houle 1990,Amer J Bot 77: 1433-1439,northern,33.5,33.5,,-84,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,37,1.178569481,0.029411765,0.286,m2,0.286,0.532,0.061,0.003721,4.037824751,6.376662713,5.652652395
378,Howe 1984,Ecology 65: 1585-1601,northern,43,43,,-90,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,12,1.171089504,0.111111111,1.26927939,ha,0.42927939,0.21,,,3,4.84509804,
379,Howe 1984,Ecology 65: 1585-1601,southern,-31,31,,155,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,13,1.230122924,0.1,1.335658452,ha,0.215658452,0.28,,,3,4.77815125,
380,Howe 1984,Ecology 65: 1585-1601,northern,43,43,,-90,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,17,1.340447915,0.071428571,1.06669855,ha,-0.13330145,0.3,,,3,4.84509804,
381,Howe 1984,Ecology 65: 1585-1601,southern,-31,31,,155,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,22,1.443635475,0.052631579,1.152594078,ha,-0.407405922,0.39,,,3,4.84509804,
382,Hruby 1975,J of Ecology 63: 881-889,northern,48.42,48.42,,-122.67,water,marine,macroalgae,nonvascular plants,autotrophs,spores,sessile,0.6667,no,nested,,log-log,5,1.354025101,0.5,0.78,m2,0.78,0.322,0.103,0.010609,-0.602059991,0.096910013,5.875061263
383,Hruby 1975,J of Ecology 63: 881-889,northern,48.53,48.53,,-122.97,water,marine,macroalgae,nonvascular plants,autotrophs,spores,sessile,0.6667,no,nested,,log-log,10,1.782842035,0.142857143,0.778,m2,0.778,0.285,0.035,0.001225,-0.602059991,0.397940009,6.138302698
384,Hruby 1975,J of Ecology 63: 881-889,northern,48.53,48.53,,-122.97,water,marine,macroalgae,nonvascular plants,autotrophs,spores,sessile,0.6667,no,nested,,log-log,10,1.191359415,0.142857143,0.615,m2,0.615,0.195,0.046,0.002116,-0.602059991,0.397940009,6.138302698
385,Hugueny & Paugy 1995,Am Nat 146: 162-169,northern,7,7,,-5.7,water,streams,fish,fish,omnivores,mobility,nekton,2.0969,no,independent,,log-log,10,1.95882409,0.142857143,0.463,km2,-1.373,0.306,0.031,0.000961,8.903089987,10.98677173,10.49003577
386,Changeux 1998,"from Changeux 1998, Ital J Zool 65 Suppl: 305-311",,,,,,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,,,log-log,39,,0.027777778,0.364805003,km2,-1.555194997,0.32,,,,,
387,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,53,53,4,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,40,0.863389675,0.027027027,0,km2,-3.918,0.653,,,,,8.73248061
388,Humphreys & Kitchener 1982,J of Biogeography 9: 391-396,,,,,,terrestrial,forest,passerine birds,birds,omnivores,flying,flying,2.0153,no,independent,,log-log,21,1.064554504,0.055555556,1.118925753,ha,0.478925753,0.16,,,5.531478917,7.70918513,
389,Humphreys & Kitchener 1982,J of Biogeography 9: 391-396,,,,,,terrestrial,forest,lizards,reptiles,carnivores,mobility,mobile,1.528,no,independent,,log-log,21,0.954069476,0.055555556,0.475671188,ha,-0.604328812,0.27,,,5.531478917,7.70918513,
390,Humphreys & Kitchener 1982,J of Biogeography 9: 391-396,,,,,,terrestrial,forest,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,21,1.190269352,0.055555556,-0.013228266,ha,-1.293228266,0.32,,,5.531478917,7.70918513,
391,Hutterer et al 1987,Bonn zool Beitr 38: 155-172,,,,,,terrestrial,,shrew species (small mammals?),mammals,omnivores,mobility,mobile,1,no,independent,,log-log,44,0.621253234,0.024390244,-0.193,km2,-1.483,0.215,0.05,0.0025,8.10720997,12.39894866,11.8110853
392,Hylleberg et al 1985,Research Bulletin/ Phuket marine biological center 38:1-32,northern,8,8,,98.33,water,marine,polychaetes,helminths,omnivores,pelagic larvae,,-3.5,no,nested,,log-log,16,2.646652412,0.076923077,1.355,m2,1.355,0.55,0.021,0.000441,-1,0.204119983,-0.069050969
393,Ishida et al 1998,Japanese Journal of Ecology 48: 1-16,northern,35,35,,135,terrestrial,forest,lucidophyllous forest,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,29,1.688845467,0.038461538,0.771,m2,0.771,0.228,0.017,0.000289,2.397940009,5.214843848,4.062452305
394,Jackson & Harvey 1989,Ecology 70: 1472-1484,northern,45.5,45.5,,-80,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,34,0.473471561,0.032258065,0.567,ha,-0.077,0.161,0.058,0.003364,4.336459734,6.988764017,6.289945516
395,Jackson & Harvey 1989,Ecology 70: 1472-1484,northern,48,48,,-85,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,38,0.317229857,0.028571429,0.533,ha,-0.251,0.196,0.101,0.010201,4.829303773,6.24144686,5.672651923
396,Jackson & Harvey 1989,Ecology 70: 1472-1484,northern,46,46,,-83,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,41,0.565436575,0.026315789,0.491,ha,-0.285,0.194,0.052,0.002704,4.689308859,7.022222105,6.137638905
397,Jackson & Harvey 1989,Ecology 70: 1472-1484,northern,45.7,45.7,,-82.5,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,46,0.913902365,0.023255814,0.38,ha,-0.628,0.252,0.036,0.001296,4.942504106,7.989900787,6.741451009
398,Jackson & Harvey 1989,Ecology 70: 1472-1484,northern,31.18,31.18,,-90,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,52,0.629924172,0.020408163,0.451,ha,-0.521,0.243,0.051,0.002601,4.757396029,7.428536493,6.074560468
399,Jackson & Harvey 1989,Ecology 70: 1472-1484,northern,45,45,,-81.5,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,54,0.420082581,0.019607843,0.704,ha,0.032,0.168,0.054,0.002916,4.667452953,7.076960677,6.047002131
400,James et al 1982,Ecology 63: 159-171,,,,,,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,23,0.604155603,0.05,2.312,ha,5.784,-0.868,0.295,0.087025,5.064457989,5.459392488,5.212986185
401,Janzen 1981,Ecology 62: 532-537,,,,,,terrestrial,,Ichneumonids,insects,parasites,flying,parasite,-2.301029996,yes,independent,,log-log,19,0.996215082,0.0625,-6.492,km2,-20.1,2.268,0.471,0.221841,9.528273777,10.11237037,9.997823081
402,Johansson et al 1994,Polar Biol 14: 107-116,northern,69.25,69.25,1,,terrestrial,forest,bark insects,insects,herbivores,flying,mobile,,no,independent,,log-log,11,0.365443754,0.125,0.819,km2,0.081,0.123,0.11,0.0121,4,5.860338007,5.278753601
403,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,1,1,2,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,29,1.393781132,0.038461538,1.231,km2,-1.193,0.404,,,,,8.432565257
404,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,56.2,56.2,10.1,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,41,0.739759773,0.026315789,2.1,km2,0.846,0.209,,,,,8.437793356
405,Johnson 1986,National Geographic Research 2: 152-166,northern,37,37,,-112,terrestrial,non-forest,ants,insects,omnivores,flying,mobile,-2.398,no,independent,A2b,log-log,5,0.326086553,0.5,0.806,ha,0.714,0.023,0.04,0.0016,4.301029996,6.222716471,5.58546073
406,Johnson 1986,National Geographic Research 2: 152-166,northern,37,37,,-112,terrestrial,non-forest,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,5,1.015433436,0.5,0.289,ha,-0.263,0.138,0.067,0.004489,4.301029996,6.222716471,5.58546073
407,Johnson 1986,National Geographic Research 2: 152-166,northern,37,37,,-112,terrestrial,non-forest,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,A2b,log-log,5,0.553314182,0.5,0.426,ha,-0.002,0.107,0.106,0.011236,4.301029996,6.222716471,5.58546073
408,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,32.7,32.7,8.8,,terrestrial,islands,,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,14,1.461791583,0.090909091,1.484,km2,-1.24,0.454,,,,,8.033584576
409,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,32.7,32.7,8.8,,terrestrial,islands,,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,18,1.278182807,0.066666667,1.571,km2,-0.925,0.416,,,,,7.928216566
410,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,33.05,33.05,9.7,,terrestrial,,,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,10,1.345554808,0.142857143,2.605,km2,1.657,0.158,,,,,10.18119463
411,Jokinen 1987,Amer Malac Bull 5: 9-19,northern,43,43,4,,water,lakes,freshwater snails,molluscs,omnivores,pelagic larvae,mobile,-1.597,no,independent,,log-log,14,0.113180815,0.090909091,0.6627,ha,0.7295,-0.0167,0.0425,0.00180625,2,6.5,
412,Jokinen 1987,Amer Malac Bull 5: 9-19,northern,43,43,4,,water,lakes,freshwater snails,molluscs,omnivores,pelagic larvae,mobile,-1.597,no,independent,,log-log,23,1.245086267,0.05,0.601,ha,-0.153,0.1885,0.0258,0.00066564,2,6.5,
413,Jokinen 1987,Amer Malac Bull 5: 9-19,northern,43,43,4,,water,lakes,freshwater snails,molluscs,omnivores,pelagic larvae,mobile,-1.597,no,independent,,log-log,35,0.516120165,0.03125,0.6093,ha,0.1873,0.1055,0.0341,0.00116281,2,6.5,
414,Jokinen 1987,Amer Malac Bull 5: 9-19,northern,43,43,4,,water,lakes,freshwater snails,molluscs,omnivores,pelagic larvae,mobile,-1.597,no,independent,,log-log,41,0.777032261,0.026315789,0.7467,ha,0.2815,0.1163,0.0217,0.00047089,2,6.5,
415,Jones & Lawton 1991,J of Animal Ecology 60: 767-777,,,,,,terrestrial,,insects,insects,omnivores,flying,flying,-2.301,no,independent,,log-log,61,0.706180685,0.017241379,-0.16893946,10x10 km,-2.72093946,0.319,,,,,
416,Jordal et al 2001,Global Ecology & Biogeography 10: 345-357,,,,,,terrestrial,islands,wood-booring beetles (Scolytinae),insects,herbivores,flying,mobile,-2.301029996,no,independent,,log-log,47,1.545259925,0.022727273,0.404,km2,-1.66,0.344,0.023,0.000529,7.204119983,11.879,10.84664781
417,Jordal et al 2001,Global Ecology & Biogeography 10: 345-357,,,,,,terrestrial,islands,wood-booring beetles (Platypodidae),insects,herbivores,flying,mobile,-2.301029996,no,independent,,log-log,47,1.65839002,0.022727273,-0.843,km2,-3.771,0.488,0.029,0.000841,7.204119983,11.879,10.84664781
418,Judas 1988,Oecologia 76: 579-587,,,,,,terrestrial,,Lubricidae earthworms,helminths,omnivores,pelagic larvae,mobile,-3.5,no,independent,,log-log,205,0.993851906,0.004950495,0.96,km2,0.456,0.084,0.005,0.000025,2,11.73800797,10.34794618
419,Järvinen & Ranta 1987,Ann Zool Fennici 24: 249-266,northern,63.3,63.3,,21.3,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,11,1.201133432,0.125,1.599,ha,-1.405,0.751,0.165,0.027225,3.012837225,3.84509804,3.57634135
420,Järvinen & Ranta 1987,Ann Zool Fennici 24: 249-266,northern,63.3,63.3,,21.3,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,13,0.351832842,0.1,1.532,ha,1.052,0.12,0.101,0.010201,3.012837225,3.938019097,3.620136055
421,Järvinen & Ranta 1987,Ann Zool Fennici 24: 249-266,northern,59.8,59.8,,23,terrestrial,islands,ants,insects,omnivores,flying,mobile,-2.398,no,independent,A2b,log-log,16,1.147727958,0.076923077,0.56,ha,-2.156,0.679,0.128,0.016384,2.591064607,4.906442794,4.298634783
422,Järvinen & Ranta 1987,Ann Zool Fennici 24: 249-266,northern,60.3,60.3,,20,terrestrial,islands,land birds,birds,omnivores,flying,flying,2.0725,no,independent,A2b,log-log,43,1.589026915,0.025,0.487,ha,-1.509,0.499,0.033,0.001089,3.671635597,6.779448792,5.726098535
423,Järvinen & Ranta 1987,Ann Zool Fennici 24: 249-266,northern,63.3,63.3,,21.3,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,56,1.341366197,0.018867925,1.509,ha,0.013,0.374,0.029,0.000841,1.278753601,6.102249795,4.766843953
